mes,hora,IEXTMIN,IEXTMAX,IEXTPROM,error,k,C,dec,h,B,AM,Azimut,AngIncidencia,IDirect0,IDif0,IT0,IDirect0error,IDif0error,IT0error
Febrero,13,921.33,1056.52,988.925,67.595,0.15,0.06,-13.62,-15,44.67,1.42,-20.63,19.2,754.76,44.59,799.34,51.59,3.05,54.64
Febrero,14,802.38,933.05,867.715,65.335,0.15,0.06,-13.62,-30,38.2,1.62,-38.39,32.19,575.92,37.97,613.89,43.36,2.86,46.22
Febrero,15,615.1,739.8,677.45,62.35,0.15,0.06,-13.62,-45,28.93,2.07,-52.14,46.35,342.8,27.71,370.51,31.55,2.55,34.1
Febrero,16,372.27,489.92,431.095,58.825,0.15,0.06,-13.62,-60,17.95,3.24,-61.88,60.4,130.99,14.79,145.78,17.87,2.02,19.89
Febrero,17,96.12,204,150.06,53.94,0.15,0.06,-13.62,-75,5.96,9.62,-69.9,74.7,9.35,1.98,11.33,3.36,0.71,4.07
Marzo,6,14.1,115.42,64.76,50.66,0.16,0.08,-2.42,90,1.19,48.34,89.95,88.95,0,0,0,0,0,0
Marzo,7,245.92,415.7,330.81,84.89,0.16,0.08,-2.42,75,11.81,4.88,81.93,75.75,37.29,11.27,48.56,9.57,2.89,12.46
Marzo,8,526.25,693.98,610.115,83.865,0.16,0.08,-2.42,60,24.51,2.41,71.62,59.79,208.78,30.86,239.64,28.7,4.24,32.94
Marzo,9,770.48,928.45,849.465,78.985,0.16,0.08,-2.42,45,36.53,1.68,61.88,45.16,457.84,48.29,506.13,42.57,4.49,47.06
Marzo,10,956.23,1103.17,1029.7,73.47,0.16,0.08,-2.42,30,47.19,1.36,47.56,30.12,716.47,61.62,778.09,51.12,4.4,55.51
Marzo,11,1070.92,1206.2,1138.56,67.64,0.16,0.08,-2.42,15,55.15,1.22,26.93,15.04,904.58,69.68,974.26,53.74,4.14,57.88
Marzo,12,1106.7,1230.55,1168.625,61.925,0.16,0.08,-2.42,0,58.24,1.18,0,1.04,967.41,71.97,1039.39,51.26,3.81,55.08
Marzo,13,1061.17,1174.58,1117.875,56.705,0.16,0.08,-2.42,-15,55.15,1.22,-26.93,15.04,888.14,68.41,956.55,45.05,3.47,48.52
