YEAR,MO,DY,HR,IT,IT clear,IT EXT,HREL
2020,12,20,10,603.95,599.48,735.42,1.46
2020,12,20,11,685.69,683.55,825.65,1.28
2020,12,20,12,690.77,696.8,840.88,1.16
2020,12,20,13,639.14,641.27,780.1,1.16
2020,12,20,14,516.64,520.2,647.42,1.1
2020,12,20,15,331.88,345.33,451.9,1.1
2020,12,20,16,123.85,144.17,216.08,2.01
2020,12,20,17,0,0,0,1.89
2020,12,20,18,0,0,0,1.71
2020,12,20,19,0,0,0,1.59
2020,12,20,20,0,0,0,1.53
2020,12,20,21,0,0,0,1.46
2020,12,20,22,0,0,0,1.46
2020,12,20,23,0,0,0,1.46
2020,12,21,0,0,0,0,1.46
2020,12,21,1,0,0,0,1.46
2020,12,21,2,0,0,0,1.53
2020,12,21,3,0,0,0,1.59
2020,12,21,4,0,0,0,1.59
2020,12,21,5,0,0,0,1.59
2020,12,21,6,0,0,0,1.65
2020,12,21,7,34.38,53.42,100.08,1.71
2020,12,21,8,219.24,255.48,357.35,1.83
2020,12,21,9,406.66,442.35,574.88,1.83
2020,12,21,10,558.95,582.45,734.5,1.95
2020,12,21,11,641.39,661.9,825.33,1.95
2020,12,21,12,666.47,674.45,841.2,2.08
2020,12,21,13,620.7,619.77,781.02,2.14
2020,12,21,14,507.52,502.2,648.9,2.2
2020,12,21,15,337.41,331.75,453.83,2.14
2020,12,21,16,137.59,137.23,218.9,2.99
2020,12,21,17,0,0,0,2.75
2020,12,21,18,0,0,0,2.5
2020,12,21,19,0,0,0,2.32
2020,12,21,20,0,0,0,2.2
2020,12,21,21,0,0,0,2.14
2020,12,21,22,0,0,0,2.08
2020,12,21,23,0,0,0,2.08
2020,12,22,0,0,0,0,2.01
2020,12,22,1,0,0,0,2.01
2020,12,22,2,0,0,0,2.01
2020,12,22,3,0,0,0,2.01
2020,12,22,4,0,0,0,2.08
2020,12,22,5,0,0,0,2.2
2020,12,22,6,0,0,0,2.2
2020,12,22,7,40.02,51.45,98.23,2.32
2020,12,22,8,241.02,251.83,355.5,2.75
2020,12,22,9,432.31,439.1,573.5,2.5
2020,12,22,10,585.57,580.48,733.67,2.32
2020,12,22,11,665.95,663.2,825.15,2.08
2020,12,22,12,682.8,677.48,841.65,2.01
2020,12,22,13,627.25,623.42,782.1,2.01
2020,12,22,14,503.22,505.88,650.52,2.08
2020,12,22,15,335.61,335.8,455.88,2.2
2020,12,22,16,131.32,141.33,221.92,2.5
2020,12,22,17,0,0,0,2.93
2020,12,22,18,0,0,0,2.99
2020,12,22,19,0,0,0,3.11
2020,12,22,20,0,0,0,3.17
2020,12,22,21,0,0,0,3.23
2020,12,22,22,0,0,0,3.3
2020,12,22,23,0,0,0,3.3
2020,12,23,0,0,0,0,3.3
2020,12,23,1,0,0,0,3.23
2020,12,23,2,0,0,0,3.17
2020,12,23,3,0,0,0,3.11
2020,12,23,4,0,0,0,3.05
2020,12,23,5,0,0,0,3.05
2020,12,23,6,0,0,0,2.99
2020,12,23,7,40.09,51.15,96.5,2.93
2020,12,23,8,229.88,254.23,353.75,3.11
2020,12,23,9,413.7,445.5,572.23,2.56
2020,12,23,10,578.69,590.2,732.98,1.95
2020,12,23,11,633.72,674.4,825.08,1.83
2020,12,23,12,686.05,689.8,842.23,1.83
2020,12,23,13,601.42,636.52,783.27,1.95
2020,12,23,14,475.77,518.35,652.25,2.08
2020,12,23,15,302.27,346.25,458.05,2.2
2020,12,23,16,139.25,149.1,225.08,2.38
2020,12,23,17,0,0,0,2.81
2020,12,23,18,0,0,0,2.81
2020,12,23,19,0,0,0,2.75
2020,12,23,20,0,0,0,2.69
2020,12,23,21,0,0,0,2.38
2020,12,23,22,0,0,0,2.08
2020,12,23,23,0,0,0,1.71
2020,12,24,0,0,0,0,1.34
2020,12,24,1,0,0,0,1.1
2020,12,24,2,0,0,0,1.04
2020,12,24,3,0,0,0,1.04
2020,12,24,4,0,0,0,1.04
2020,12,24,5,0,0,0,1.04
2020,12,24,6,0,0,0,1.04
2020,12,24,7,33.25,55.2,94.88,1.04
2020,12,24,8,200.09,265.12,352.1,1.04
2020,12,24,9,364.84,459.5,571.05,0.98
2020,12,24,10,479.84,606.05,732.4,0.79
2020,12,24,11,538.39,690.73,825.1,0.73
2020,12,24,12,558.09,703.55,842.9,0.67
2020,12,24,13,506.28,647.4,784.58,0.67
2020,12,24,14,390.28,526.6,654.08,0.73
2020,12,24,15,246.96,351.98,460.3,0.85
2020,12,24,16,97.2,153.02,228.38,1.77
2020,12,24,17,0,0,0,1.65
2020,12,24,18,0,0,0,1.46
2020,12,24,19,0,0,0,1.28
2020,12,24,20,0,0,0,1.28
2020,12,24,21,0,0,0,1.28
2020,12,24,22,0,0,0,1.34
2020,12,24,23,0,0,0,1.34
2020,12,25,0,0,0,0,1.4
2020,12,25,1,0,0,0,1.34
2020,12,25,2,0,0,0,1.34
2020,12,25,3,0,0,0,1.34
2020,12,25,4,0,0,0,1.28
2020,12,25,5,0,0,0,1.22
2020,12,25,6,0,0,0,1.16
2020,12,25,7,42.98,45.27,93.33,1.28
2020,12,25,8,194.34,238.62,350.58,1.95
2020,12,25,9,361.31,424.77,570,0.98
2020,12,25,10,510.29,565.88,731.9,0.79
2020,12,25,11,557.2,641.52,825.25,1.34
2020,12,25,12,584.2,661.17,843.7,2.14
2020,12,25,13,551.77,612.23,785.95,2.62
2020,12,25,14,392.27,497.67,656,3.05
2020,12,25,15,261.23,331.25,462.65,3.48
2020,12,25,16,103.87,143.1,231.85,4.03
2020,12,25,17,0,0,0,4.15
2020,12,25,18,0,0,0,3.85
2020,12,25,19,0,0,0,3.54
2020,12,25,20,0,0,0,3.36
2020,12,25,21,0,0,0,3.3
2020,12,25,22,0,0,0,3.36
2020,12,25,23,0,0,0,3.42
2020,12,26,0,0,0,0,3.48
2020,12,26,1,0,0,0,3.42
2020,12,26,2,0,0,0,3.36
2020,12,26,3,0,0,0,3.17
2020,12,26,4,0,0,0,2.93
2020,12,26,5,0,0,0,2.81
2020,12,26,6,0,0,0,2.69
2020,12,26,7,50.1,46.17,91.92,2.69
2020,12,26,8,247.61,243.15,349.17,3.17
2020,12,26,9,432.86,431.48,569.08,2.99
2020,12,26,10,577.07,574.35,731.55,2.69
2020,12,26,11,661.59,657.27,825.55,2.5
2020,12,26,12,679.57,674.23,844.62,2.38
2020,12,26,13,629.22,622.7,787.5,2.44
2020,12,26,14,515.58,508.02,658.08,2.56
2020,12,26,15,346.44,339.48,465.15,2.69
2020,12,26,16,150.88,149.02,235.48,3.17
2020,12,26,17,0,0,0,3.42
2020,12,26,18,0,0,0,3.42
2020,12,26,19,0,0,0,3.42
2020,12,26,20,0,0,0,3.42
2020,12,26,21,0,0,0,3.42
2020,12,26,22,0,0,0,3.48
2020,12,26,23,0,0,0,3.42
2020,12,27,0,0,0,0,3.36
2020,12,27,1,0,0,0,3.3
2020,12,27,2,0,0,0,3.23
2020,12,27,3,0,0,0,3.17
2020,12,27,4,0,0,0,3.11
2020,12,27,5,0,0,0,3.05
2020,12,27,6,0,0,0,2.93
2020,12,27,7,46.98,43.02,90.6,2.87
2020,12,27,8,241.8,237.08,347.9,3.17
2020,12,27,9,428.88,425.08,568.33,2.69
2020,12,27,10,573.21,568.08,731.4,2.08
2020,12,27,11,656.51,651.98,826.02,1.83
2020,12,27,12,676.81,671.42,845.75,1.83
2020,12,27,13,624.71,619.35,789.23,1.89
2020,12,27,14,506.72,504.27,660.3,2.01
